entry_edge_bps,exit_edge_bps,max_holding_hours,trade_count,sharpe_ann,max_drawdown_pct,total_net_pnl_usd,total_return_pct
10.0,0.0,12,3,-0.6782095026380227,-0.6020916800610722,-349.9973225701626,-0.34999732257015026
10.0,0.0,24,3,-0.6782095026380227,-0.6020916800610722,-349.9973225701626,-0.34999732257015026
10.0,0.0,48,3,-0.6782095026380227,-0.6020916800610722,-349.9973225701626,-0.34999732257015026
10.0,0.0,72,3,-0.6782095026380227,-0.6020916800610722,-349.9973225701626,-0.34999732257015026
10.0,2.0,12,4,-1.0188355978312627,-0.8374992675460234,-586.0019540525079,-0.5860019540524952
10.0,2.0,24,4,-1.0188355978312627,-0.8374992675460234,-586.0019540525079,-0.5860019540524952
10.0,2.0,48,4,-1.0188355978312627,-0.8374992675460234,-586.0019540525079,-0.5860019540524952
10.0,2.0,72,4,-1.0188355978312627,-0.8374992675460234,-586.0019540525079,-0.5860019540524952
10.0,5.0,12,4,-1.2308463097496316,-0.9499823041270721,-698.7702716753188,-0.6987702716753086
10.0,5.0,24,4,-1.2308463097496316,-0.9499823041270721,-698.7702716753188,-0.6987702716753086
10.0,5.0,48,4,-1.2308463097496316,-0.9499823041270721,-698.7702716753188,-0.6987702716753086
10.0,5.0,72,4,-1.2308463097496316,-0.9499823041270721,-698.7702716753188,-0.6987702716753086
15.0,0.0,12,3,-0.4821629427282293,-0.4988165449743392,-246.46025964947302,-0.2464602596494836
15.0,0.0,24,3,-0.4821629427282293,-0.4988165449743392,-246.46025964947302,-0.2464602596494836
15.0,0.0,48,3,-0.4821629427282293,-0.4988165449743392,-246.46025964947302,-0.2464602596494836
15.0,0.0,72,3,-0.4821629427282293,-0.4988165449743392,-246.46025964947302,-0.2464602596494836
15.0,2.0,12,3,-0.6027283465911457,-0.553302891245301,-301.08479494963524,-0.30108479494963536
15.0,2.0,24,3,-0.6027283465911457,-0.553302891245301,-301.08479494963524,-0.30108479494963536
15.0,2.0,48,3,-0.6027283465911457,-0.553302891245301,-301.08479494963524,-0.30108479494963536
15.0,2.0,72,3,-0.6027283465911457,-0.553302891245301,-301.08479494963524,-0.30108479494963536
15.0,5.0,12,3,-0.8435884805573791,-0.6657751765841531,-413.8423340628271,-0.41384233406281945
15.0,5.0,24,3,-0.8435884805573791,-0.6657751765841531,-413.8423340628271,-0.41384233406281945
15.0,5.0,48,3,-0.8435884805573791,-0.6657751765841531,-413.8423340628271,-0.41384233406281945
15.0,5.0,72,3,-0.8435884805573791,-0.6657751765841531,-413.8423340628271,-0.41384233406281945
20.0,0.0,12,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
