entry_edge_bps,exit_edge_bps,max_holding_hours,trade_count,sharpe_ann,max_drawdown_pct,total_net_pnl_usd,total_return_pct
5.0,-50.0,24,4,1.4316621069850077,-0.29422097097283884,1141.2828755157798,1.141282875515759
5.0,-50.0,48,3,1.106953025304341,-0.42353775340276945,962.9402164967878,0.962940216496766
5.0,-50.0,72,3,1.4584680196441138,-0.42353775340276945,1410.5766542590832,1.410576654259077
5.0,-20.0,24,4,1.1779587743760325,-0.27371560681600543,723.0275981285367,0.723027598128545
5.0,-20.0,48,4,1.1779587743760325,-0.27371560681600543,723.0275981285367,0.723027598128545
5.0,-20.0,72,4,1.1779587743760325,-0.27371560681600543,723.0275981285367,0.723027598128545
5.0,0.0,24,6,0.3483734664510645,-0.32527738081777,175.1638559816438,0.17516385598168593
5.0,0.0,48,6,0.3483734664510645,-0.32527738081777,175.1638559816438,0.17516385598168593
5.0,0.0,72,6,0.3483734664510645,-0.32527738081777,175.1638559816438,0.17516385598168593
5.0,2.0,24,8,-0.037048103342648825,-0.46299115486004283,-22.113780588494137,-0.022113780588495224
5.0,2.0,48,8,-0.037048103342648825,-0.46299115486004283,-22.113780588494137,-0.022113780588495224
5.0,2.0,72,8,-0.037048103342648825,-0.46299115486004283,-22.113780588494137,-0.022113780588495224
10.0,-50.0,24,2,1.0767453146912538,-0.26435264421596366,653.8728018758419,0.65387280187581
10.0,-50.0,48,1,0.4780704922121529,-0.42353775340276945,306.0704166102413,0.3060704166102379
10.0,-50.0,72,1,0.8242375295188636,-0.42353775340276945,593.4859164563284,0.5934859164563155
10.0,-20.0,24,2,0.8329146452863734,-0.26435264421596366,384.8520582242005,0.38485205822420543
10.0,-20.0,48,2,0.8329146452863734,-0.26435264421596366,384.8520582242005,0.38485205822420543
10.0,-20.0,72,2,0.8329146452863734,-0.26435264421596366,384.8520582242005,0.38485205822420543
10.0,0.0,24,3,0.5868208992316531,-0.26435264421596366,189.71341088092632,0.18971341088092064
10.0,0.0,48,3,0.5868208992316531,-0.26435264421596366,189.71341088092632,0.18971341088092064
10.0,0.0,72,3,0.5868208992316531,-0.26435264421596366,189.71341088092632,0.18971341088092064
10.0,2.0,24,4,0.3886893606896412,-0.26435264421596366,132.77199388187208,0.1327719938818861
10.0,2.0,48,4,0.3886893606896412,-0.26435264421596366,132.77199388187208,0.1327719938818861
10.0,2.0,72,4,0.3886893606896412,-0.26435264421596366,132.77199388187208,0.1327719938818861
15.0,-50.0,24,2,1.2603050386608547,-0.2384944862767606,759.0388900684275,0.7590388900684308
15.0,-50.0,48,1,0.6669737575675435,-0.4222901862478208,424.2835723906545,0.42428357239063796
15.0,-50.0,72,1,0.9954788886948789,-0.4222901862478208,711.8428368460557,0.7118428368460439
15.0,-20.0,24,2,1.0724263394809737,-0.2384944862767655,488.59314708033673,0.48859314708034063
15.0,-20.0,48,2,1.0724263394809737,-0.2384944862767655,488.59314708033673,0.48859314708034063
15.0,-20.0,72,2,1.0724263394809737,-0.2384944862767655,488.59314708033673,0.48859314708034063
15.0,0.0,24,3,0.9355270319791237,-0.1600000000000035,293.6239447389959,0.29362394473899656
15.0,0.0,48,3,0.9355270319791237,-0.1600000000000035,293.6239447389959,0.29362394473899656
15.0,0.0,72,3,0.9355270319791237,-0.1600000000000035,293.6239447389959,0.29362394473899656
15.0,2.0,24,3,0.8050119189314655,-0.16254778566329017,238.80246704645333,0.23880246704646169
15.0,2.0,48,3,0.8050119189314655,-0.16254778566329017,238.80246704645333,0.23880246704646169
15.0,2.0,72,3,0.8050119189314655,-0.16254778566329017,238.80246704645333,0.23880246704646169
20.0,-50.0,24,2,1.393209644100475,-0.22402249724026052,822.7894870405041,0.8227894870405095
20.0,-50.0,48,1,0.6669737575675435,-0.4222901862478208,424.2835723906545,0.42428357239063796
20.0,-50.0,72,1,0.9954788886948789,-0.4222901862478208,711.8428368460557,0.7118428368460439
20.0,-20.0,24,2,1.3103247973230139,-0.22402249724026968,550.0160342978068,0.5500160342978067
20.0,-20.0,48,2,1.3103247973230139,-0.22402249724026968,550.0160342978068,0.5500160342978067
20.0,-20.0,72,2,1.3103247973230139,-0.22402249724026968,550.0160342978068,0.5500160342978067
20.0,0.0,24,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
20.0,0.0,48,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
20.0,0.0,72,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
20.0,2.0,24,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
20.0,2.0,48,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
20.0,2.0,72,2,0.9194346624113551,-0.16,241.36049490239864,0.24136049490242062
