timestamp_utc,instrument,direction,spot_price,perp_price,basis_bps,funding_rate_last,funding_rate_next,next_funding_time,minutes_to_next_funding,expected_edge_bps,confidence_score,state,signal_flag,entry_flag,exit_flag,note
2026-04-18T00:19:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2420.49,2419.23,-5.2055575523954385,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,461.00010000000003,-21.31305755239544,0.17192864072642727,FLAT,False,False,False,
2026-04-18T00:20:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2419.45,2418.01,-5.95176589720639,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,460.00010000000003,-22.05926589720639,0.1703896922657573,FLAT,False,False,False,
2026-04-18T00:21:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2419.26,2417.86,-5.786893512892748,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,459.00010000000003,-21.894393512892748,0.17072038582062185,FLAT,False,False,False,
2026-04-18T00:22:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2419.23,2417.85,-5.704294341588477,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,458.00010000000003,-21.811794341588477,0.1708880200280759,FLAT,False,False,False,
2026-04-18T00:23:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2417.93,2416.85,-4.466630547616877,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,457.00010000000003,-20.574130547616875,0.173563754876255,FLAT,False,False,False,
2026-04-18T00:24:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2419.31,2418.0,-5.4147670203485525,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,456.00010000000003,-21.52226702034855,0.17148611460925062,FLAT,False,False,False,
2026-04-18T00:25:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2419.71,2418.49,-5.041926511855779,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,455.00010000000003,-21.14942651185578,0.1722809300548705,FLAT,False,False,False,
2026-04-18T00:26:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2421.21,2419.99,-5.038802912594342,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,454.00010000000003,-21.146302912594344,0.17228770829476892,FLAT,False,False,False,
2026-04-18T00:27:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2420.59,2419.36,-5.081405772972779,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,453.00010000000003,-21.18890577297278,0.17219543239564503,FLAT,False,False,False,
2026-04-18T00:28:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2421.8,2420.43,-5.656949376498247,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,452.00010000000003,-21.76444937649825,0.17098470148441428,FLAT,False,False,False,
2026-04-18T00:29:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2421.61,2420.28,-5.492213857722454,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,451.00010000000003,-21.599713857722456,0.17132451269873553,FLAT,False,False,False,
2026-04-18T00:30:00+00:00,ETHUSDT,LONG_SPOT_SHORT_PERP,2421.72,2420.29,-5.904894042250287,-2.327e-05,-1.075e-05,2026-04-18T08:00:00.006000+00:00,450.00010000000003,-22.012394042250286,0.17048317841922855,FLAT,False,False,False,
