scenario,start,end,minutes,final_equity_usd,total_net_pnl_usd,total_return_pct,sharpe_ann,max_drawdown_pct,trade_count,win_rate,avg_hold_hours,turnover_x,funding_pnl_usd,basis_pnl_usd,cost_pnl_usd
baseline,2024-04-25 00:00:00+00:00,2026-04-25 15:59:00+00:00,1052160,101946.24658787565,1946.2465878756273,1.9462465878756552,0.6621925141593868,-0.9313256115412295,3,1.0,2.155555555555556,12.06744360189543,10.0,2961.979294036739,1025.7327061611118
optimistic,2024-04-25 00:00:00+00:00,2026-04-25 15:59:00+00:00,1052160,103520.8216232516,3520.821623251584,3.520821623251602,0.6441232663420816,-1.6519846179513722,7,0.8571428571428571,32.857142857142854,28.1197584577817,619.2704652553717,4026.3414963074797,1124.790338311268
