quarter,trade_count,net_pnl_usd,funding_pnl_usd,basis_pnl_usd,cost_pnl_usd,win_rate,avg_hold_hours
2024Q1,2,1146.238241625562,940.9991283231698,526.1886907687224,320.9495774663301,1.0,72.0
2024Q3,1,264.3384126335211,10.114623824162557,416.0577699959594,161.83398118660088,1.0,6.0
