scenario,start,end,minutes,final_equity_usd,total_net_pnl_usd,total_return_pct,sharpe_ann,max_drawdown_pct,trade_count,win_rate,avg_hold_hours,turnover_x,funding_pnl_usd,basis_pnl_usd,cost_pnl_usd
baseline,2024-01-01 00:00:00+00:00,2024-08-01 23:59:00+00:00,308160,100866.4858226161,866.4858226161496,0.8664858226161032,0.8336337208422051,-0.44435264421596365,3,1.0,50.0,12.047919631972873,950.2352958114564,940.3236955223872,1024.073168717694
optimistic,2024-01-01 00:00:00+00:00,2024-08-01 23:59:00+00:00,308160,101410.57665425909,1410.5766542590832,1.410576654259077,1.4584680196441138,-0.42353775340276945,3,1.0,50.0,12.069588966323275,951.1137521473323,942.2464607646818,482.783558652931
