trade_id,entry_time,exit_time,entry_spot,entry_perp,exit_spot,exit_perp,entry_basis_bps,exit_basis_bps,qty_eth,funding_events,funding_pnl,basis_pnl,cost_pnl,net_pnl,hold_minutes,exit_reason
1,2024-02-27 02:08:00+00:00,2024-02-27 02:11:00+00:00,3254.84,3271.26,3228.26,3234.64,50.4479482862447,19.76296828632035,30.723476422804193,0,0.0,308.46370328496687,340.0,-31.53629671503313,3,funding_decay
2,2024-02-28 17:12:00+00:00,2024-02-28 17:17:00+00:00,3474.16,3489.53,3462.1,3472.0,44.24091003292982,28.595361196961647,28.77485887330606,0,0.0,157.3984780369915,339.8927765911689,-182.49429855417742,5,funding_decay
3,2024-02-28 17:31:00+00:00,2024-02-28 17:33:00+00:00,3196.72,3213.01,3290.0,3298.21,50.958482444506934,24.95440729483294,31.215110927679245,0,0.0,252.21809629565996,339.27229597608465,-87.05419968042469,2,funding_decay
