trade_id,entry_time,exit_time,entry_spot,entry_perp,exit_spot,exit_perp,entry_basis_bps,exit_basis_bps,qty_eth,funding_events,funding_pnl,basis_pnl,cost_pnl,net_pnl,hold_minutes,exit_reason
1,2024-02-27 02:07:00+00:00,2024-03-01 02:07:00+00:00,3248.6,3261.63,3371.27,3375.1,40.109585667672846,11.360703829713808,30.78249091916518,9,470.287,283.19891645632833,340.0,413.48591645632837,4320,time_stop
2,2024-03-11 07:36:00+00:00,2024-03-14 07:36:00+00:00,3994.93,4008.6,3966.72,3970.74,34.218371786239246,10.134317521781176,25.135230383625323,9,469.8698453231699,242.55497320198663,341.4058521159514,371.0189664092051,4320,time_stop
3,2024-07-04 02:00:00+00:00,2024-07-04 08:00:00+00:00,3157.95,3170.0,3183.71,3182.77,38.15766557418636,-2.9525302241725995,31.91453470855001,1,10.07845048828655,414.56980586407224,342.6673166017427,81.98093975061607,360,profit_convergence
