trade_id,entry_time,exit_time,entry_spot,entry_perp,exit_spot,exit_perp,entry_basis_bps,exit_basis_bps,qty_eth,funding_events,funding_pnl,basis_pnl,cost_pnl,net_pnl,hold_minutes,exit_reason
1,2024-02-27 02:07:00+00:00,2024-03-01 02:07:00+00:00,3248.6,3261.63,3371.27,3375.1,40.109585667672846,11.360703829713808,30.78249091916518,9,470.287,283.19891645632833,160.0,593.4859164563284,4320,time_stop
2,2024-03-11 07:36:00+00:00,2024-03-14 07:36:00+00:00,3994.93,4008.6,3966.72,3970.74,34.218371786239246,10.134317521781176,25.180287493512104,9,470.7121283231698,242.98977431239405,160.94957746633008,552.7523251692337,4320,time_stop
3,2024-07-04 02:00:00+00:00,2024-07-04 08:00:00+00:00,3157.95,3170.0,3183.71,3182.77,38.15766557418636,-2.9525302241725995,32.02908160092008,1,10.114623824162557,416.0577699959594,161.83398118660088,264.3384126335211,360,profit_convergence
