trade_id,entry_time,exit_time,entry_spot,entry_perp,exit_spot,exit_perp,entry_basis_bps,exit_basis_bps,qty_eth,notional_usd,entry_confidence,funding_events,funding_pnl,basis_pnl,cost_pnl,net_pnl,hold_minutes,exit_reason
1,2024-07-04 02:00:00+00:00,2024-07-04 02:01:00+00:00,3157.95,3170.0,3199.79,3199.29,38.15766557418636,-1.5626025457920676,31.666112509697747,100000.0,0.7393364156121445,0,0.0,397.40971199671253,160.0,237.40971199671253,1,funding_decay
2,2024-11-18 19:10:00+00:00,2024-11-18 19:11:00+00:00,3138.67,3149.35,3130.68,3132.88,34.02715162791831,7.027227311639238,31.9362690923215,100237.40971199672,0.7193327322646564,0,0.0,270.8195619028724,160.37985553919475,110.43970636367766,1,funding_decay
3,2025-10-10 21:20:00+00:00,2025-10-10 21:21:00+00:00,3488.88,3500.0,3650.05,3706.38,31.872692669280372,154.3266530595469,28.762195724232534,100347.8494183604,0.6146788263072915,0,0.0,-1300.3388686925537,160.55655906937665,-1460.8954277619303,1,hard_stop
4,2025-10-10 21:22:00+00:00,2025-10-10 21:25:00+00:00,3658.05,3700.0,3642.68,3642.99,114.67858558521567,0.8510217751763686,27.03269610601235,98886.95399059847,0.9998214403038279,0,0.0,1125.6414658543508,158.21912638495755,967.4223394693933,3,funding_decay
5,2025-10-10 21:26:00+00:00,2025-10-10 21:29:00+00:00,3547.2,3560.52,3590.0,3617.44,37.55074424898558,76.4345403899723,28.15019630414633,99854.37633006785,0.7282408765488224,0,0.0,-397.480771814543,159.76700212810857,-557.2477739426515,3,hard_stop
6,2025-10-10 21:30:00+00:00,2025-10-10 21:31:00+00:00,3633.84,3668.55,3664.38,3664.79,95.51879004028807,1.1188795921816364,27.325674370947862,99297.12855612519,0.9987884131673945,0,0.0,937.2706309235166,158.8754056898003,778.3952252337162,1,funding_decay
7,2025-10-10 21:43:00+00:00,2025-10-10 21:46:00+00:00,3755.33,3773.77,3864.8,3864.91,49.103540833961475,0.28462016145640806,26.64892933014114,100075.52378135892,0.8904000837455671,0,0.0,488.4748746214973,160.12083805017426,328.35403657132304,3,funding_decay
