scenario,start,end,minutes,final_equity_usd,total_net_pnl_usd,total_return_pct,sharpe_ann,max_drawdown_pct,trade_count,win_rate,avg_hold_hours,turnover_x,funding_pnl_usd,basis_pnl_usd,cost_pnl_usd
baseline,2024-04-25 00:00:00+00:00,2026-04-25 15:59:00+00:00,1052160,100615.58911539442,615.5891153944458,0.6155891153944326,0.2959703714989294,-1.083380979075395,4,0.5,0.025,16.120270911203896,0.0,1985.8121428467769,1370.2230274523313
optimistic,2024-04-25 00:00:00+00:00,2026-04-25 15:59:00+00:00,1052160,100403.87781793023,403.877817930241,0.4038778179302316,0.13562528379421215,-1.613501996835675,7,0.7142857142857143,0.030952380952380953,27.947969671540307,0.0,1521.796604791853,1117.9187868616123
