quarter,trade_count,net_pnl_usd,funding_pnl_usd,basis_pnl_usd,cost_pnl_usd,win_rate,avg_hold_hours
2024Q3,1,237.40971199671253,0.0,397.40971199671253,160.0,1.0,0.016666666666666666
2024Q4,1,110.43970636367766,0.0,270.8195619028724,160.37985553919475,1.0,0.016666666666666666
2025Q4,5,56.02839956985076,0.0,853.567330892268,797.5389313224173,0.6,0.03666666666666667
